"symbol","company_name","previous_close","option_chain"
"AMKR","Amkor Technology, Inc. - Common Stock",19.8799991607666,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock",18.049999237060547,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",4.539999961853027,"{""contractSymbol"":{""0"":""AMRN211217P00003000"",""1"":""AMRN220121P00003000"",""2"":""AMRN220121P00010000""},""lastTradeDate"":{""0"":1620227858000,""1"":1620227858000,""2"":1620241108000},""strike"":{""0"":3.0,""1"":3.0,""2"":10.0},""lastPrice"":{""0"":0.24,""1"":0.27,""2"":5.6},""bid"":{""0"":0.23,""1"":0.29,""2"":5.65},""ask"":{""0"":0.78,""1"":0.43,""2"":6.0},""change"":{""0"":0.0,""1"":0.0,""2"":0.0},""percentChange"":{""0"":0.0,""1"":0.0,""2"":0.0},""volume"":{""0"":300.0,""1"":301.0,""2"":350.0},""openInterest"":{""0"":729,""1"":6814,""2"":12418},""impliedVolatility"":{""0"":0.9902344727,""1"":0.7734397656,""2"":0.9257819922},""inTheMoney"":{""0"":false,""1"":false,""2"":true},""contractSize"":{""0"":""REGULAR"",""1"":""REGULAR"",""2"":""REGULAR""},""currency"":{""0"":""USD"",""1"":""USD"",""2"":""USD""},""symbol"":{""0"":""AMRN"",""1"":""AMRN"",""2"":""AMRN""}}"
"AMRS","Amyris, Inc. - Common Stock",11.40999984741211,"{""contractSymbol"":{""0"":""AMRS210521P00011000""},""lastTradeDate"":{""0"":1620411991000},""strike"":{""0"":11.0},""lastPrice"":{""0"":0.31},""bid"":{""0"":0.25},""ask"":{""0"":0.4},""change"":{""0"":-0.39},""percentChange"":{""0"":-55.714287},""volume"":{""0"":348.0},""openInterest"":{""0"":1132},""impliedVolatility"":{""0"":0.9062509375},""inTheMoney"":{""0"":false},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""AMRS""}}"
"ANGI","Angi Inc. - Class A Common Stock",14.039999961853027,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",3.640000104904175,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"APYX","Apyx Medical Corporation - Common Stock",9.34000015258789,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AQB","AquaBounty Technologies, Inc. - Common Stock",5.179999828338623,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AQST","Aquestive Therapeutics, Inc. - Common Stock",3.509999990463257,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ARAV","Aravive, Inc. - Common Stock",4.840000152587891,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ARAY","Accuray Incorporated - Common Stock",4.510000228881836,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ARCC","Ares Capital Corporation - Closed End Fund",19.059999465942383,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
