"symbol","company_name","previous_close"
"BATRA","Liberty Media Corporation - Series A Liberty Braves Common Stock",27.59000015258789
"BATRK","Liberty Media Corporation - Series C Liberty Braves Common Stock",27.290000915527344
"BBBY","Bed Bath & Beyond Inc. - Common Stock",24.90999984741211
"BBIO","BridgeBio Pharma, Inc. - Common Stock",49.59000015258789
"BBSI","Barrett Business Services, Inc. - Common Stock",76.73999786376953
"BCEL","Atreca, Inc. - Class A Common Stock",9.779999732971191
"BCLI","Brainstorm Cell Therapeutics Inc. - Common Stock",3.1700000762939453
"BCPC","Balchem Corporation - Common Stock",132.91000366210938
"BCRX","BioCryst Pharmaceuticals, Inc. - Common Stock",12.920000076293945
"BDSI","BioDelivery Sciences International, Inc. - Common Stock",3.180000066757202
"BEAM","Beam Therapeutics Inc. - Common Stock",70.11000061035156
"BELFB","Bel Fuse Inc. - Class B Common Stock",17.229999542236328
"BGCP","BGC Partners, Inc. - Class A Common Stock",5.630000114440918
"BGFV","Big 5 Sporting Goods Corporation - Common Stock",28.299999237060547
"BGNE","BeiGene, Ltd. - American Depositary Shares",314.0
"BHF","Brighthouse Financial, Inc. - Common Stock",48.97999954223633
"BIDU","Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",192.3300018310547
"BIGC","BigCommerce Holdings, Inc. - Series 1 Common Stock",47.77000045776367
"BIIB","Biogen Inc. - Common Stock",272.1099853515625
"BILI","Bilibili Inc. - American Depositary Shares",104.11000061035156
"BJRI","BJ's Restaurants, Inc. - Common Stock",59.95000076293945
"BKCC","BlackRock Capital Investment Corporation - Common Stock",3.8299999237060547
"BKEP","Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests",3.430000066757202
"BKNG","Booking Holdings Inc. - Common Stock",2279.35009765625
"BL","BlackLine, Inc. - Common Stock",103.6500015258789
"BLDP","Ballard Power Systems, Inc. - Common Shares",15.149999618530273
"BLDR","Builders FirstSource, Inc. - Common Stock",52.0
"BLKB","Blackbaud, Inc. - Common Stock",67.11000061035156
"BLMN","Bloomin' Brands, Inc. - Common Stock",29.59000015258789
"BLNK","Blink Charging Co. - Common Stock",32.27000045776367
"BLUE","bluebird bio, Inc. - Common Stock",29.670000076293945
"BMRA","Biomerica, Inc. - Common Stock",4.340000152587891
"BMRN","BioMarin Pharmaceutical Inc. - Common Stock",78.61000061035156
"BNFT","Benefitfocus, Inc. - Common Stock",13.729999542236328
"BNTX","BioNTech SE - American Depositary Shares",168.0
"BOOM","DMC Global Inc. - Common Stock",54.79999923706055
"BPY","Brookfield Property Partners L.P. - Limited Partnership Units",17.90999984741211
"BPYU","Brookfield Property REIT Inc. - Class A Common Stock",18.079999923706055
"BRKL","Brookline Bancorp, Inc. - Common Stock",16.790000915527344
"BRKR","Bruker Corporation - Common Stock",68.19999694824219
"BRY","Berry Corporation (bry) - Common Stock",6.090000152587891
"BSGM","BioSig Technologies, Inc. - Common Stock",3.2699999809265137
"BSQR","BSQUARE Corporation - Common Stock",2.5
"BTAI","BioXcel Therapeutics, Inc. - Common Stock",30.56999969482422
"BUSE","First Busey Corporation - Common Stock",25.81999969482422
"BXRX","Baudax Bio, Inc. - Common stock",0.8320000171661377
"BYND","Beyond Meat, Inc. - Common stock",119.04000091552734
"BZUN","Baozun Inc. - American Depositary Shares",32.939998626708984
"CAAS","China Automotive Systems, Inc. - Common Stock",4.25
