Entry,Quant Rating,Symbol,StockPrice,Annualized,Strike,Exp,Income,Chance,Bid,Ask,OpenInterest,Volume,Collateral,DaysHeld,PercentProfit
2021-05-09,?,ADT,9.69,174.2,10,2021-05-21,52.5,?,0.45,0.6000000000000001,1717,4750,1000,11,5.25
2021-05-09,?,ADT,9.69,20.59,9,2022-01-21,129.99999999999997,?,1.2,1.4,470,450,900,256,14.44
2021-05-09,?,AG,16.39,173.95,16.0,2021-05-14,30.500000000000004,?,0.28,0.33,1052,2230,1600.0,4,1.91
2021-05-09,?,AG,16.39,301.4,16.5,2021-05-14,54.50000000000001,?,0.53,0.56,438,604,1650.0,4,3.3
2021-05-09,?,AG,16.39,483.09,17.0,2021-05-14,90.0,?,0.88,0.92,308,311,1700.0,4,5.29
2021-05-09,?,AG,16.39,101.62,16.0,2021-05-21,49.0,?,0.47000000000000003,0.51,2575,466,1600.0,11,3.06
2021-05-09,?,AG,16.39,60.83,16.0,2021-06-18,104.0,?,1.02,1.06,1479,270,1600.0,39,6.5
2021-05-09,?,AHT,2.86,298.64,2.5,2021-05-21,22.5,?,0.2,0.25,12085,580,250.0,11,9.0
2021-05-09,?,AHT,2.86,168.46,2.5,2021-06-18,45.0,?,0.4,0.5,12012,532,250.0,39,18.0
2021-05-09,?,AM,9.28,6.42,5,2022-01-21,22.500000000000004,?,0.1,0.35000000000000003,2685,696,500,256,4.5
2021-05-09,?,AMC,9.51,263.61,9.0,2021-05-14,26.0,?,0.25,0.27,3243,5672,900.0,4,2.89
2021-05-09,?,AMC,9.51,494.67,9.5,2021-05-14,51.5,?,0.51,0.52,1986,4471,950.0,4,5.42
2021-05-09,?,AMC,9.51,771.06,10.0,2021-05-14,84.5,?,0.81,0.88,6273,1629,1000.0,4,8.45
2021-05-09,?,AMC,9.51,1086.31,10.5,2021-05-14,125.0,?,1.18,1.32,639,421,1050.0,4,11.9
2021-05-09,?,AMC,9.51,1725.82,11.5,2021-05-14,217.49999999999997,?,2.01,2.34,809,250,1150.0,4,18.91
2021-05-09,?,AMC,9.51,80.88,8.0,2021-05-21,19.5,?,0.18,0.21,17944,1039,800.0,11,2.44
2021-05-09,?,AMC,9.51,128.82,8.5,2021-05-21,33.0,?,0.31,0.35000000000000003,3857,811,850.0,11,3.88
2021-05-09,?,AMC,9.51,195.4,9.0,2021-05-21,53.0,?,0.51,0.55,3472,8469,900.0,11,5.89
2021-05-09,?,AMC,9.51,281.17,9.5,2021-05-21,80.5,?,0.78,0.8300000000000001,1389,709,950.0,11,8.47
2021-05-09,?,AMC,9.51,379.93,10.0,2021-05-21,114.5,?,1.12,1.17,5641,580,1000.0,11,11.45
2021-05-09,?,AMC,9.51,582.19,11.0,2021-05-21,193.0,?,1.85,2.01,1383,621,1100.0,11,17.55
2021-05-09,?,AMC,9.51,686.72,11.5,2021-05-21,238.0,?,2.3,2.46,962,536,1150.0,11,20.7
2021-05-09,?,AMC,9.51,783.92,12.0,2021-05-21,283.5,?,2.75,2.92,2453,3464,1200.0,11,23.62
2021-05-09,?,AMC,9.51,122.86,8.5,2021-05-28,51.5,?,0.49,0.54,527,384,850.0,18,6.06
2021-05-09,?,AMC,9.51,90.08,8.0,2021-06-18,77.0,?,0.75,0.79,7703,1224,800.0,39,9.62
2021-05-09,?,AMC,9.51,131.03,9.0,2021-06-18,126.0,?,1.25,1.27,15091,538,900.0,39,14.0
2021-05-09,?,AMC,9.51,58.1,10.0,2022-01-21,407.5,?,4.0,4.15,8722,561,1000.0,256,40.75
2021-05-09,?,AMWL,13.93,68.56,20,2021-11-19,725.0,?,7.1,7.4,507,300,2000,193,36.25
2021-05-09,?,APT,8.6,9.66,5,2021-08-20,13.5,?,0.09,0.18,439,730,500,102,2.7
2021-05-09,?,ARLO,6.68,22.81,5,2022-01-21,80.0,?,0.7000000000000001,0.9,784,500,500,256,16.0
2021-05-09,?,ARR,12.31,106.23,15,2021-07-16,292.5,?,2.75,3.1,801,400,1500,67,19.5
2021-05-09,?,ARR,12.31,50.82,15,2021-10-15,330.0,?,2.9,3.7,480,421,1500,158,22.0
2021-05-09,?,AXL,10.48,21.18,9,2021-10-15,82.5,?,0.75,0.9,3013,3000,900,158,9.17
