"symbol","company_name","previous_close"
"LCUT","Lifetime Brands, Inc. - Common Stock",15.710000038146973
"LI","Li Auto Inc. - American Depositary Shares",18.26000022888184
"LINC","Lincoln Educational Services Corporation - Common Stock",7.019999980926514
"LIZI","LIZHI INC. - American Depositary Shares",5.519999980926514
"LJPC","La Jolla Pharmaceutical Company - Common Stock",3.880000114440918
"LLNW","Limelight Networks, Inc. - Common Stock",3.0199999809265137
"LMNL","Liminal BioSciences Inc. - Common Shares",4.789999961853027
"LMNR","Limoneira Co - Common Stock",18.780000686645508
"LMRK","Landmark Infrastructure Partners LP - Common Units",11.989999771118164
"LOCO","El Pollo Loco Holdings, Inc. - Common Stock",17.75
"LPCN","Lipocine Inc. - Common Stock",1.3899999856948853
"LX","LexinFintech Holdings Ltd. - American Depositary Shares",8.229999542236328
"MACK","Merrimack Pharmaceuticals, Inc. - Common Stock",6.619999885559082
"MAXN","Maxeon Solar Technologies, Ltd. - Ordinary Shares",16.489999771118164
"MBIO","Mustang Bio, Inc. - Common Stock",3.049999952316284
"MDCA","MDC Partners Inc. - Class A Subordinate Voting Shares",4.900000095367432
"MDRX","Allscripts Healthcare Solutions, Inc. - common stock",16.229999542236328
"MEIP","MEI Pharma, Inc. - Common Stock",3.309999942779541
"MERC","Mercer International Inc. - Common Stock",15.90999984741211
"MESO","Mesoblast Limited - American Depositary Shares",6.980000019073486
"MFIN","Medallion Financial Corp. - Common Stock",9.020000457763672
"MGI","Moneygram International, Inc. - Common Stock",8.029999732971191
"MGIC","Magic Software Enterprises Ltd. - Ordinary Shares",16.040000915527344
"MGTA","Magenta Therapeutics, Inc. - Common Stock",11.359999656677246
"MHLD","Maiden Holdings, Ltd. - Common Stock",3.869999885559082
"MIND","MIND Technology, Inc. - Common Stock",2.2799999713897705
"MIST","Milestone Pharmaceuticals Inc. - Common Shares",5.730000019073486
"MLCO","Melco Resorts & Entertainment Limited - American Depositary Shares ",18.209999084472656
"MNKD","MannKind Corporation - Common Stock",4.289999961853027
"MOMO","Momo Inc. - American Depositary Shares",14.369999885559082
"MRCC","Monroe Capital Corporation - Common Stock",10.550000190734863
"MRKR","Marker Therapeutics, Inc. - Common Stock",2.3499999046325684
"MRNS","Marinus Pharmaceuticals, Inc. - Common Stock",14.09000015258789
"MRSN","Mersana Therapeutics, Inc. - Common Stock",15.420000076293944
"MRTN","Marten Transport, Ltd. - Common Stock",17.709999084472656
"MTEM","Molecular Templates, Inc. - Common Stock",8.8100004196167
"MTRX","Matrix Service Company - Common Stock",13.859999656677246
"MVIS","MicroVision, Inc. - Common Stock",14.100000381469728
"NAVI","Navient Corporation - Common Stock",17.34000015258789
"NBEV","NewAge, Inc. - Common Stock",2.130000114440918
"NBLX","Noble Midstream Partners LP - Common Units, Representing Limited Partner Interests",15.300000190734863
"NBSE","NeuBase Therapeutics, Inc.  - Common Stock",5.269999980926514
"NCMI","National CineMedia, Inc. - Common Stock",4.380000114440918
"NCTY","The9 Limited - American Depository Shares",17.6200008392334
"NDLS","Noodles & Company - Common Stock",12.119999885559082
"NEPT","Neptune Wellness Solutions Inc. - Ordinary Shares",1.309999942779541
"NERV","Minerva Neurosciences, Inc - Common Stock",2.259999990463257
"NFBK","Northfield Bancorp, Inc. - Common Stock",16.770000457763672
"NH","NantHealth, Inc. - Common Stock",2.5
"NKLA","Nikola Corporation - Common Stock",11.5
"NMRD","Nemaura Medical Inc. - Common Stock",8.5600004196167
"NMRK","Newmark Group, Inc. - Class A Common Stock",12.779999732971191
"NMTR","9 Meters Biopharma, Inc. - Common Stock",1.1699999570846558
"NNBR","NN, Inc. - Common Stock",7.539999961853027
"NNDM","Nano Dimension Ltd. - American Depositary Shares",6.670000076293945
"NWBI","Northwest Bancshares, Inc. - Common Stock",14.079999923706056
"NXTC","NextCure, Inc. - Common Stock",7.949999809265137
"NYMT","New York Mortgage Trust, Inc. - Common Stock",4.510000228881836
"NYMX","Nymox Pharmaceutical Corporation - Common Stock",1.7899999618530271
"OBSV","ObsEva SA - Common Shares",2.799999952316284
"OCSL","Oaktree Specialty Lending Corporation - Common Stock",6.760000228881836
"OCUL","Ocular Therapeutix, Inc. - Common Stock",16.25
"OCX","OncoCyte Corporation - Common Stock",4.28000020980835
"OESX","Orion Energy Systems, Inc. - Common Stock",5.650000095367432
"OGI","Organigram Holdings Inc. - Common Shares",2.75
"OMER","Omeros Corporation - Common Stock",17.75
"OMEX","Odyssey Marine Exploration, Inc. - Common Stock",6.190000057220459
"ONB","Old National Bancorp - Common Stock",19.5
"OPK","Opko Health, Inc. - Common Stock",3.799999952316284
"ORBC","ORBCOMM Inc. - Common Stock",11.399999618530272
"ORMP","Oramed Pharmaceuticals Inc. - Common Stock",10.9399995803833
"ORTX","Orchard Therapeutics plc - American Depositary Shares",5.460000038146973
"OSUR","OraSure Technologies, Inc. - Common Stock",9.859999656677246
"OSW","OneSpaWorld Holdings Limited - Common Shares",10.529999732971191
"OTIC","Otonomy, Inc. - Common Stock",2.1600000858306885
"OXSQ","Oxford Square Capital Corp. - Closed End Fund",5.0
"PAA","Plains All American Pipeline, L.P. - Common Units representing Limited Partner Interests",9.479999542236328
"PAGP","Plains GP Holdings, L.P. - Class A Shares representing limited partner interests",9.710000038146973
"PAYA","Paya Holdings Inc. - Common Stock",10.130000114440918
"PAYS","Paysign, Inc. - Common Stock",3.569999933242798
"PBCT","People's United Financial, Inc. - Common Stock",18.920000076293945
"PBYI","Puma Biotechnology Inc - Common Stock",9.789999961853027
"PCYO","Pure Cycle Corporation - Common Stock",14.56999969482422
"PDFS","PDF Solutions, Inc. - Common Stock",19.09000015258789
"PESI","Perma-Fix Environmental Services, Inc. - Common Stock",7.670000076293945
